source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2022,30 Aug,1,30 Aug Shift 1,69e9f0837cb320f4789fb76a,49,Identify the financial decision of Mr. Gulati about the requirement of finance to be raised for the company from various sources.,$3a,$3a,Investment decision,Management decision,Financing decision,Dividend decision,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,financing decision,Business Finance :: financing decision,0.48,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cbe521a7b79a4a4d.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,30 Aug,1,30 Aug Shift 1,69e9f0837cb320f4789fb76c,50,"Name the various levels of packaging used by 'Health and Life Ltd.' as mentioned in the case study.
(a) Primary Package
(b) Secondary Package
(c) Tertiary Package
(d) Transportation Package
(e) Fancy Package
Choose the most appropriate answer from the options given below :",$3b,$3b,"(a), (b) and (d) only","(a), (b) and (c) only","(a), (b) and (e) only",(b) and (d) only,A,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit X,Marketing,product,packaging,Marketing :: product,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cbe521a7b79a4a4d.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cc5,1,_____ is the managerial function that monitors organisational performance towards the attainment of organisational goals,,,Planning,Controlling,Organising,Directing,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, directing, controlling",Nature and Significance of Management :: functions of management,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cc8,2,_____ is the scientific technique through which F.W Taylor devised the concept of Assembly line,,,Motion study,Time study,Method study,Standardisation and simplification,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit II,Principles of Management,techniques of scientific management,"standardisation, simplification, method study, motion study, time study",Principles of Management :: techniques of scientific management,0.90,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cca,3,"Rate of saving and investment, money supply in the economy, public debt, volume of imports and export are components of _____ dimension of business environment",,,Economic,Political,Legal,Social,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,dimensions,,Business Environment :: dimensions,0.54,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ccf,4,Identify the statement that does not refer to the feature of business environment,,,Dynamic nature,Innovative,Totality of external forces,Specific and general forces,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,medium,Unit III,Business Environment,meaning and features,"business environment, general forces, dynamic",Business Environment :: meaning and features,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cd1,5,"Mr. Raj is the MD of the wrist watch company. He has systematically divided the work among all the departments to ensure clarity in thought and action, so that work is carried on smoothly without any interruptions. Identify the importance of planning highlighted in the above case.",,,Planning reduces overlapping and wasteful activities,Planning promotes innovative ideas,Planning facilitates decision making,Planning reduces the risk of uncertainty,A,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit IV,Planning,importance,"importance of planning, reduces overlapping, innovative ideas, decision making",Planning :: importance,0.88,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cd3,6,"In a manufacturing concern, division of work into key functions will include production, purchase, marketing accounts and personnel. These departments may be further divided into sections. Which type of structure is highlighted here?",,,Divisional structure,Functional structure,Rational structure,Organisational structure,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit V,Organising,organisation structure,"functional structure, divisional structure",Organising :: organisation structure,0.65,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cd6,7,It is defined as the framework within which managerial and operational tasks are performed. Identify it,,,Span of management,Organisational structure,Informal organisation,Delegation,B,AfterBoards CUET Business Studies PYQs linked file,definition,easy,Unit V,Organising,formal and informal organisation,"formal organisation, informal organisation",Organising :: formal and informal organisation,0.61,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cd8,8,"Vasu is a hard working employee in the organisation. He has been working as a junior clerk for the last five years. As Srinath, the senior clerk retired he expected to fill the vacant position. But instead of vertically shifting Vasu, the company appointed Raman as a senior clerk through a placement agency. Vasu felt demotivated and frustrated.

Identify the limitation of external sources of recruitment discussed above.",,,Lengthy process,Dissatisfaction among existing staff,Danger of inbreeding,Competition spirit is hampered,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,staffing process,"recruitment, placement",Staffing :: staffing process,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cda,9,Controlling function of an organisation is _____,,,Forward looking,Backward looking,Both forward and backward looking,Neither forward nor backward looking,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VIII,Controlling,relationship with planning,"forward looking, backward looking",Controlling :: relationship with planning,0.67,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cdc,10,"In a bulb manufacturing unit, the range of defective bulb is decided at 5%. Any deviation that goes beyond the permissible limit of defect is to be brought to the notice of supervisor.

Identify the concept of one of the functions of management highlighted here.",,,Control by Exception,Critical Point Control,Controlling,Key Result Areas,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VIII,Controlling,meaning and importance,"controlling, deviation",Controlling :: meaning and importance,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cde,11,Which of the following is not a limitation of controlling ?,,,Difficulty in setting quantitative standards,Resistance from employees,Ensuring order and discipline,Costly affair,C,AfterBoards CUET Business Studies PYQs linked file,chronology,medium,Unit VIII,Controlling,meaning and importance,"controlling, standards",Controlling :: meaning and importance,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ce0,12,"Quantitative standards should be set so that it is easier to match the actual performance with the desired (planned) performance.

Identify the function of management discussed above.",,,Planning,Controlling,Staffing,Directing,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, staffing, directing, controlling",Nature and Significance of Management :: functions of management,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ce2,13,The cost in the process of raising fund through equity is known as _____.,,,Financial risk,Cost of debt,Floatation cost,Cost of capital,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"debt, equity, financial risk, cost of capital",Business Finance :: financing decision,0.85,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ce4,14,A trading organisation comparatively needs _____ investment in fixed assets as compared to a manufacturing organisation,,,Lesser,larger,Moderate,Negligible,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,investment decision,fixed assets,Business Finance :: investment decision,0.42,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ce6,15,Rajat is planning the break up of his finance to know the amount of capital that he will utilize to purchase fixed assets and current assets. Identify the financial decision taken by Rajat,,,Investment decision,Financial decision,Dividend decision,Capital structure,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,investment decision,"investment decision, fixed assets",Business Finance :: investment decision,0.66,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808ce8,16,Debt normally does not cause _____.,,,a dilution of control,a dilution of flexibility,a dilution of cost,a dilution of equity,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"debt, equity",Business Finance :: financing decision,0.60,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cea,17,"Rohit has 500 shares of Ruchi Soya Ltd. Ruchi Soya further issued 1,00,000 equity shares and offered Rohit to buy 1 more equity share for every 5 shares held by him. Identify the method of floatation",,,Right issue,Private placement,Offer through prospectus,offer for sale,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,consumer rights,,Consumer Protection :: consumer rights,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cec,18,Beneficial owner account with a depository participant for holding and transfer of securities is also known as _____.,,,Securities Account,Demat Account,Share owner Account,Securities owner Account,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,recruitment,transfer,Staffing :: recruitment,0.34,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cee,19,"According to the Consumer Protection Act 2019, identify who among the following cannot file a complaint.",,,Any registered consumers' association,Central Government or any State Government,One or more consumers on behalf of numerous consumers having the same interest,A person who avails of any service for any commercial purpose,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,importance,consumer protection,Consumer Protection :: importance,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cf0,20,Mohini went to a shopkeeper to buy hair oil. The shopkeeper forced her to buy a particular brand of oil out of various brands available with him. Which right of Mohini has been violated?,,,Right to be informed,Right to choose,Right to safety,Right to be heard,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,consumer rights,"right to safety, right to be informed, right to choose, right to be heard",Consumer Protection :: consumer rights,0.91,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cf2,21,""" ISI Mark"" is found on",,,Electric goods,Spices,Jewellery,Woolen clothes,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,product,,Marketing :: product,0.07,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,yes
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cf4,22,"If a technology required to convert the idea of product offering is available, it is known as _____ feasibility analysis.",,,Economic,Financial,Commercial,Technical,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,marketing mix,product,Marketing :: marketing mix,0.34,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cf6,23,As the volume of advertising is getting more and more expanded it is becoming difficult to make advertising messages heard by the target prospects. This will affect the _____ of advertising,,,Social values,Preference,Effectiveness,Criticism,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,importance of management,effectiveness,Nature and Significance of Management :: importance of management,0.34,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cf9,24,That part of a brand which can be recognised but cannot be utterable is called _____.,,,Brand name,Trade mark,Brand mark,Patent,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,product,"brand name, brand mark",Marketing :: product,0.61,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cfb,25,Which one of the following is not true about objections to advertising?,,,Advertisements which make similar claims confuses the buyer,Advertising is a very economical mode of communication,Advertising does not distinguish between superior and inferior products,Advertising undermines social values and promote materialism,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,communication,communication,Directing :: communication,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808cfe,26,"The Economic survey 2019 suggests that the psychological studies can be used in the realm of tax compliance. It is in favour of using religious norms such as ""dying debt is a sin"" to improve tax compliance. Identify the related dimension of business environment.

A. Economic
B. Social
C. Technological
D. Legal
E. Political

Choose the correct answer from the option given below:",,,A & D,B & D,E & C,A & E,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,dimensions,,Business Environment :: dimensions,0.58,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d02,27,"""Planning is decided in advance what to do and how to do"". Choose the correct sequence of steps to make the process of planning

A. Developing premises
B. Follow up action
C. Evaluating alternatives
D. Identifying alternatives
E. Selecting an alternative

Choose the correct answer from the option given below:",,,"A,D,C,E,B","A,B,C,E,D","D,A,C,B,E","C,B,A,D,E",A,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit IV,Planning,planning process,"developing premises, identifying alternatives, evaluating alternatives, selecting an alternative, follow up",Planning :: planning process,0.92,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d04,28,"From the below description, arrange the organising process in a sequential order

A. Assignment of duties
B. Establishing reporting relationship
C. Identification and division of work
D. Departmentalisation

Choose the correct answer from the option given below:",,,"D,C,B,A","C,D,A,B","A,C,B,D","B,D,C,A",B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit V,Organising,meaning and process,"organising, departmentalisation, assignment of duties",Organising :: meaning and process,0.80,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d06,29,"Identify the correct sequence in the staffing process

A. The organisation conducted inhouse trainings and offered opportunities for career advancement in the long run
B. An advertisement of 'situation vacant' was published in the daily newspaper
C. The selected employee was introduced to the office employees and he occupied the position for which he was selected
D. The number and types of human resource available and required were assessed in the organisation
E. A series of tests and interviews was conducted to shortlist a suitable candidate.

Choose the correct answer from the option given below:",,,D-B-C-E-A,D-B-E-C-A,D-E-C-A-B,E-D-B-C-A,B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VI,Staffing,meaning and importance,staffing,Staffing :: meaning and importance,0.44,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d08,30,"Arrange the following steps of staffing process in a correct sequence

A. Performance appraisal
B. Training and Development
C. Placement and Orientation
D. Promotion and Career planning
E. Compensation

Choose the correct answer from the option given below:",,,"E,A,C,D,B","B,A,D,E,C","C,B,A,D,E","A,B,C,D,E",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VI,Staffing,staffing process,"placement, orientation, training, performance appraisal, promotion, compensation",Staffing :: staffing process,0.93,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d0b,31,"Which of the following statements are related to limitations of planning?

A. Planning leads to rigidity
B. Planning is futuristic
C. Planning reduces creativity
D. Planning does not guarantee success
E. Planning involves decision making

Choose the correct answer from the option given below:",,,"A,B,C and D only","A,C, and D only","B, C, D and E only","A,C,D and E only",B,AfterBoards CUET Business Studies PYQs linked file,statement-based,medium,Unit IV,Planning,limitations,"limitations of planning, rigidity, creativity",Planning :: limitations,0.77,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d0d,32,"Capital market consists of

A. Development Bank
B. Financial Institutions
C. Stock Exchange
D. Treasury Bills
E. Call Money

Choose the correct answer from the option given below:",,,"A,C,E only","A,B,C only","A,D,E only","C,D,E only",B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,marketing meaning,market,Marketing :: marketing meaning,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d0f,33,"Which of the following are the external sources of recruitment?

A. Direct recruitment
B. Transfer
C. Casual Callers
D. Campus recruitment
E. Promotions

Choose the correct answer from the option given below:",,,"A,C and D only","A,B and C only","B,C and D only",A and C only,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,recruitment,"external sources, transfer, promotion, campus recruitment",Staffing :: recruitment,0.84,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d11,34,"SEBI is an interim administrative body to promote orderly and healthy growth of securities market

Find out the correct statements about SEBI

A. SEBI was established on 12 April 1988 as an administrative body to promote orderly growth of stock market
B. The act of Parliament that governs SEBI is SEBI Act, 1994
C. The basic purpose of SEBI is to form new enterprises
D. SEBI doesn't protect the rights and interest of investors
E. SEBI is a separate regulatory body

Choose the correct answer from the option given below:",,,"A,C,E only","A,B,D only",A and E only,"B,C,D only",C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit X,Marketing,marketing meaning,market,Marketing :: marketing meaning,0.34,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d13,35,"From the following identify the drawbacks of external sources of recruitment

A. Wider choice
B. Dissatisfaction among existing staff
C. Lengthy process
D. Costly process
E. Competitive spirit

Choose the correct answer from the option given below:",,,"B,C and E only","B,C and D only","A,B and C only","B, D and E only",B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,recruitment,external sources,Staffing :: recruitment,0.46,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d15,36,"Match list I with list II

| LIST I | LIST II |
| --- | --- |
| A. People and material must be in suitable places at appropriate time for maximum efficiency | I. Espirit de corps |
| B. This principle resembles with military organisation | II. Order |
| C. It will minimize the need for using penalties | III. Stability of tenure |
| D. Employees should be given reasonable time to show results | IV. Unity of command |

Choose the correct answer from the option given below:",,,"A-II, B- I, C-IV, D-III","A-II, B- III, C-IV, D-I","A-II, B- IV, C-I, D-III","A-III, B- II, C-I, D-IV",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit II,Principles of Management,Fayol principles,unity of command,Principles of Management :: Fayol principles,0.54,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d17,37,"Match list I with list II

| LIST I | LIST II |
| --- | --- |
| A. Setting performance standards | I. Management by Exception |
| B. Analysing deviation | II. Sample checking |
| C. Measurement of actual performance | III. Reveals the deviation |
| D. Comparison of actual performance with standards | IV. Serves as benchmarks |

Choose the correct answer from the option given below:",,,"A-I, B- III, C-II, D-IV","A-II, B- I, C-IV, D-III","A-IV,B- I, C-II, D-III","A-III, B- II, C-I, D-IV",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit VIII,Controlling,control process,"setting performance standards, management by exception",Controlling :: control process,0.74,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d19,38,"Match list I with list II

| LIST I | LIST II |
| --- | --- |
| A. It seeks to protect and promote the interest of consumers | I. The Standards of Weight and Measures Act, 1976 |
| B. It aims to check adulteration of food articles | II. The Trade Mark Act, 1999 |
| C. It provides protection against under weight and under measure of products | III. The Consumer Protection Act 2019 |
| D. It provides protection against fraudulent marks on products | IV. The Prevention of Food Adulteration Act,1954 |

Choose the correct answer from the option given below:",,,"A-I, B-II, C-III, D-IV","A-II, B- I, C-III, D-IV","A-III, B-IV, C-I, D-II","A-IV, B-III, C-II, D-I",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit XI,Consumer Protection,importance,consumer protection,Consumer Protection :: importance,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d1b,39,"Match list I with list II

| LIST I | LIST II |
| --- | --- |
| A. Separation of planning and execution function | I. Standardisation of work |
| B. Setting benchmarks for every business activity which must be adhered during production | II. Simplification of work |
| C. Eliminating superflous varieties, sizes and dimensions | III. Method study |
| D. Minimizing the cost of production and maximising the quality and satisfaction of the customers. | IV. Functional foremanship |

Choose the correct answer from the option given below:",,,"A-I, B-III, C-II, D-IV","A-IV, B- I, C-II, D-III","A-III, B-II, C-IV, D-I","A-II, B-III, C-I, D-IV",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit II,Principles of Management,techniques of scientific management,"functional foremanship, standardisation, simplification, method study",Principles of Management :: techniques of scientific management,0.86,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
